"Latitude","Longitude","Date","Time","Site","Name","Specific_ID","Type","Habitat","Deployment","Termination"
15.09083102,145.63632,2024-10-21,"15:24:26","B81","B81 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-21,2024-12-02
15.09254797,145.645308,2024-10-22,"14:29:19","B91","B91 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-22,2024-12-03
15.081796,145.627342,2024-10-21,"14:35:38","C71","C71 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-21,2024-12-02
15.08204503,145.63804,2025-04-24,"16:40:41","C81","C81 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2025-04-24,2025-06-05
15.08381403,145.647229,2025-04-24,"17:26:16","C91","C91 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2025-04-24,2025-06-05
15.067774,145.612644,2024-10-21,"10:40:47","D51","D51 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-21,2024-12-02
15.06964099,145.621646,2024-10-21,"14:01:09","D61","D61 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-21,2024-12-02
15.07131896,145.630837,2025-04-24,"15:55:59","D71","D71 CAM","Camera point","Cat occupancy point","Casuarina Thicket",2025-04-24,2025-06-05
15.07299802,145.639957,2025-04-24,"15:23:33","D81","D81 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2025-04-24,2025-06-05
15.07483902,145.649112,2025-04-24,"14:51:58","D91","D91 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2025-04-24,2025-06-05
15.058943,145.615465,2024-10-21,"8:46:19","E51","E51 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-21,2024-12-02
15.06064704,145.623538,2024-10-21,"12:23:07","E61","E61 CAM","Camera point","Cat occupancy point","Native Limestone Forest",2024-10-21,2024-12-02
15.06243397,145.632593,2025-04-24,"13:30:16","E71","E71 CAM","Camera point","Cat occupancy point","Casuarina Thicket",2025-04-24,2025-06-05
15.06427003,145.641697,2025-04-24,"13:57:35","E81","E81 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2025-04-24,2025-06-05
15.06628898,145.651653,2025-04-24,"14:25:25","E91","E91 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2025-04-24,2025-06-05
15.05005801,145.616289,2024-10-18,"14:33:20","F51","F51 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-18,2024-11-29
15.05359501,145.634454,2024-10-23,"12:32:36","F71","F71 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-23,2024-12-04
15.05533199,145.643652,2024-10-23,"10:07:15","F81","F81 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-23,2024-12-04
15.057174,145.65276,2024-10-22,"13:24:31","F91","F91 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-22,2024-12-03
15.03790098,145.601185,2024-10-30,"13:12:46","G31","G31 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-30,2024-12-11
15.03936999,145.608902,2024-10-21,"9:30:49","G41","G41 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-21,2024-11-22
15.03936999,145.608902,2024-10-21,"9:30:49","G41","G41 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-12-03,2024-12-15
15.04121301,145.618154,2024-10-18,"12:32:11","G51","G51 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-18,2024-11-29
15.04311101,145.627571,2024-10-18,"13:13:21","G61","G61 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-18,2024-11-29
15.04471103,145.636371,2024-10-23,"15:35:28","G71","G71 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-23,2024-12-04
15.04648497,145.645386,2024-10-23,"14:40:03","G81","G81 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-23,2024-12-04
15.028613,145.599994,2024-11-06,"13:35:28","H3","H3 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-30,2024-12-11
15.030569,145.610189,2024-10-18,"10:22:19","H4","H4 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-18,2024-11-29
15.03211102,145.619944,2024-10-29,"12:20:10","H5","H5 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-30,2024-12-11
15.03402896,145.629037,2024-10-30,"12:02:57","H6","H6 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-30,2024-12-11
15.03576402,145.638635,2024-10-24,"8:46:58","H7","H7 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-24,2024-12-05
15.03764399,145.64703,2024-10-24,"10:38:47","H8","H8 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-24,2024-12-05
15.016318,145.585392,2024-10-28,"11:40:30","I1","I1 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-28,2024-12-09
15.01663601,145.595259,2024-10-29,"8:40:18","I2","I2 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-29,2024-12-10
15.01982801,145.603568,2024-10-18,"9:55:04","I3","I3 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-18,2024-11-29
15.02161101,145.612597,2024-10-28,"9:48:46","I4","I4 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-28,2024-12-09
15.02345804,145.62178,2024-10-17,"13:34:06","I5","I5 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-17,2024-11-28
15.02504197,145.630974,2024-10-31,"13:20:03","I6","I6 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-31,2024-12-12
15.02702303,145.639962,2024-11-14,"9:44:52","I7","I7 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-31,2024-12-12
15.02881701,145.649071,2024-10-24,"12:00:55","I8","I8 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-24,2024-12-05
15.01284404,145.614499,2024-10-18,"8:55:45","J4","J4 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-18,2024-11-20
15.01284404,145.614499,2024-10-18,"8:55:45","J4","J4 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-12-03,2024-12-15
15.01448203,145.623537,2024-10-18,"8:16:06","J5","J5 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-18,2024-11-29
15.016361,145.632656,2024-10-18,"7:40:04","J6","J6 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-18,2024-11-16
15.016361,145.632656,2024-10-18,"7:40:04","J6","J6 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-12-03,2024-12-17
15.01804098,145.641923,2024-11-01,"11:04:00","J7","J7 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-11-01,2024-12-13
15.01994502,145.650992,2024-10-24,"13:04:05","J8","J8 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-24,2024-12-05
14.99872397,145.589107,2024-11-11,"10:39:50","K1","K1 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-28,2024-12-09
15.00030496,145.598388,2024-10-28,"14:11:40","K2","K2 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-28,2024-12-09
15.009371,145.643694,2024-11-08,"13:35:51","K7","K7 CAM","Camera point","Cat occupancy point","Mixed Introduced Forest",2024-10-31,2024-12-12
15.01284303,145.66193,2024-10-24,"14:51:58","K9","K9 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-24,2024-12-05
14.99852397,145.636155,2024-10-31,"9:08:48","L6","L6 CAM","Camera point","Cat occupancy point","Other Shrub and Grass",2024-10-28,2024-12-09
15.00144096,145.653984,2024-11-08,"13:06:12","L8","L8 CAM","Camera point","Cat occupancy point","Leucaena Leucocephala (Tangantangan)",2024-10-31,2024-12-12
